1,2,3,4,5,6,Y
3.6325600000000122,3.630423999999948,3.626299999999901,3.6202769999999873,3.613411000000042,3.605570999999941,1.0
3.630423999999948,3.626299999999901,3.6202769999999873,3.613411000000042,3.605570999999941,3.598645000000033,1.0
3.626299999999901,3.6202769999999873,3.613411000000042,3.605570999999941,3.598645000000033,3.5925459999999703,1.0
3.6202769999999873,3.613411000000042,3.605570999999941,3.598645000000033,3.5925459999999703,3.5861169999999447,1.0
3.613411000000042,3.605570999999941,3.598645000000033,3.5925459999999703,3.5861169999999447,3.5819499999998925,1.0
3.605570999999941,3.598645000000033,3.5925459999999703,3.5861169999999447,3.5819499999998925,3.5790140000000292,1.0
3.598645000000033,3.5925459999999703,3.5861169999999447,3.5819499999998925,3.5790140000000292,3.5772160000000213,1.0
3.5925459999999703,3.5861169999999447,3.5819499999998925,3.5790140000000292,3.5772160000000213,3.5766069999999672,1.0
3.5861169999999447,3.5819499999998925,3.5790140000000292,3.5772160000000213,3.5766069999999672,3.577682999999979,1.0
3.5819499999998925,3.5790140000000292,3.5772160000000213,3.5766069999999672,3.577682999999979,3.579494000000068,1.0
3.5790140000000292,3.5772160000000213,3.5766069999999672,3.577682999999979,3.579494000000068,3.5832960000000185,1.0
3.5772160000000213,3.5766069999999672,3.577682999999979,3.579494000000068,3.5832960000000185,3.5874300000000403,1.0
3.5766069999999672,3.577682999999979,3.579494000000068,3.5832960000000185,3.5874300000000403,3.5926919999999427,1.0
3.5875939999999673,3.5860830000000306,3.58442500000001,3.5824029999999993,3.580515000000105,3.5785640000000285,1.0
3.5860830000000306,3.58442500000001,3.5824029999999993,3.580515000000105,3.5785640000000285,3.5768000000000484,1.0
3.58442500000001,3.5824029999999993,3.580515000000105,3.5785640000000285,3.5768000000000484,3.575134000000048,1.0
3.5824029999999993,3.580515000000105,3.5785640000000285,3.5768000000000484,3.575134000000048,3.574037999999973,1.0
3.580515000000105,3.5785640000000285,3.5768000000000484,3.575134000000048,3.574037999999973,3.5739620000000514,1.0
3.5785640000000285,3.5768000000000484,3.575134000000048,3.574037999999973,3.5739620000000514,3.573853999999983,1.0
3.5768000000000484,3.575134000000048,3.574037999999973,3.5739620000000514,3.573853999999983,3.574555000000032,1.0
3.575134000000048,3.574037999999973,3.5739620000000514,3.573853999999983,3.574555000000032,3.578021999999919,1.0
3.574037999999973,3.5739620000000514,3.573853999999983,3.574555000000032,3.578021999999919,3.578895999999986,1.0
3.5739620000000514,3.573853999999983,3.574555000000032,3.578021999999919,3.578895999999986,3.5815470000000005,1.0
3.573853999999983,3.574555000000032,3.578021999999919,3.578895999999986,3.5815470000000005,3.586221000000023,1.0
3.574555000000032,3.578021999999919,3.578895999999986,3.5815470000000005,3.586221000000023,3.591946000000007,1.0
3.5837850000000344,3.5758050000000594,3.5654899999999543,3.5505940000000464,3.5326430000000073,3.5115349999999808,1.0
3.5758050000000594,3.5654899999999543,3.5505940000000464,3.5326430000000073,3.5115349999999808,3.4878740000000334,1.0
3.5654899999999543,3.5505940000000464,3.5326430000000073,3.5115349999999808,3.4878740000000334,3.4620459999999866,1.0
3.5505940000000464,3.5326430000000073,3.5115349999999808,3.4878740000000334,3.4620459999999866,3.434436000000005,1.0
3.5326430000000073,3.5115349999999808,3.4878740000000334,3.4620459999999866,3.434436000000005,3.4057840000000397,1.0
3.5115349999999808,3.4878740000000334,3.4620459999999866,3.434436000000005,3.4057840000000397,3.3765769999999975,1.0
3.4878740000000334,3.4620459999999866,3.434436000000005,3.4057840000000397,3.3765769999999975,3.3477499999999054,1.0
3.4620459999999866,3.434436000000005,3.4057840000000397,3.3765769999999975,3.3477499999999054,3.319975000000113,1.0
3.434436000000005,3.4057840000000397,3.3765769999999975,3.3477499999999054,3.319975000000113,3.2937349999999697,1.0
3.4057840000000397,3.3765769999999975,3.3477499999999054,3.319975000000113,3.2937349999999697,3.2677349999999024,1.0
3.3765769999999975,3.3477499999999054,3.319975000000113,3.2937349999999697,3.2677349999999024,3.2440110000000004,1.0
3.3477499999999054,3.319975000000113,3.2937349999999697,3.2677349999999024,3.2440110000000004,3.221604999999954,1.0
3.319975000000113,3.2937349999999697,3.2677349999999024,3.2440110000000004,3.221604999999954,3.200664000000188,1.0
3.2937349999999697,3.2677349999999024,3.2440110000000004,3.221604999999954,3.200664000000188,3.178484000000026,1.0
